Doctor_Id,License_Number,Doctor_Name,Gender
239,223809.0,Elizabeth Zulinska,Transgender
240,81272.0,Eman Anan,Transgender
241,157840.0,Emilie Zipagan-Azocar,Female
242,291298.0,Emily Malavenda,Transgender
243,222783.0,Eric Benoit,Transgender
244,253695.0,Erich Renner,Female
245,289469.0,Eric Rider,Male
246,155972.0,Fauzia Khan,Female
247,33752.0,Felton Earls,Male
248,265470.0,Firas Kaddouh,Transgender
249,220201.0,Firas Saleh,Transgender
250,208579.0,George Allen,Female
251,54474.0,George Hom,Transgender
252,282001.0,Gerald Mingin,Male
253,262158.0,Hans Van,Transgender
254,269743.0,Harras Zaid,Male
255,254064.0,Hongchao Zhou,Female
256,257049.0,Hong Yu,Male
257,230466.0,Hsiang Huang,Male
258,157227.0,Igor Braverman,Transgender
259,238936.0,Ioannis Karakis,Male
260,205794.0,Irina Dubinchik,Transgender
261,74009.0,James Allan,Male
262,60724.0,James Connor,Male
263,244716.0,Janet Li,Transgender
264,80990.0,Janet Scott,Female
265,274245.0,Jared Schober,Male
266,249471.0,Jason Freedman,Female
267,210570.0,Jayashri Srinivasan,Transgender
268,269889.0,Jay Levin,Female
269,160336.0,Jeffery Kutok,Female
270,80733.0,Jeffrey Chavin,Male
271,254143.0,Jennifer Bennett,Male
272,225336.0,Jennifer Gill,Male
273,236836.0,Jennifer Green,Transgender
274,221799.0,Jennifer Todd,Female
275,157493.0,Jerilyn Latini,Female
276,240780.0,Jessica Delong,Transgender
277,288271.0,Jessica Kim,Female
278,251318.0,Jessica Mandeville,Female
279,266601.0,Joanna Suski,Male
280,217744.0,Jo-Anne Vergilio,Female
281,28307.0,Joel Umlas,Male
282,264923.0,John Cordes,Transgender
283,52984.0,John Grabbe,Female
284,219991.0,John Hiebert,Transgender
285,153367.0,John O'Connell,Male
286,56916.0,John Wei,Male
287,281555.0,Jonathan Killian,Male
288,47156.0,Jose Gutrecht,Transgender
289,71869.0,Joseph Frassica,Transgender
290,230025.0,Joshua Baumfeld,Male
291,237770.0,Julie Dennis,Transgender
292,228643.0,Julie Leegwater-Kim,Female
293,257470.0,Julie Tse,Transgender
294,253966.0,Juniper Burch,Transgender
295,269291.0,Justin Lacasse,Transgender
296,74648.0,Jyoti Ramakrishna,Transgender
297,203239.0,Kameel Garas,Transgender
298,261083.0,Karen Cotting,Female
299,257582.0,Karim Fikry,Female
300,256724.0,Karina Tamir,Female
301,47494.0,Katherine Grimes,Female
302,258619.0,Kenneth Novoa,Female
303,160186.0,Ketan Sheth,Transgender
304,288080.0,Khushabu Kasabwala,Male
305,277424.0,Kimberly Lemkin,Female
306,229700.0,Kinga Pluta,Female
307,158536.0,Kurt Heim,Female
308,32778.0,Kyle Pruett,Male
309,74205.0,Lawrence Weinfeld,Male
310,232582.0,Lisa Corkins,Male
311,73537.0,Lisa Dobberteen,Transgender
312,208904.0,Lisa Gallagher,Transgender
313,212157.0,Lisa Sullinales,Female
314,278960.0,Luke Dong,Transgender
315,253646.0,Luminita Marinescu,Male
316,283506.0,Mamatha Challa,Male
317,37028.0,Manuel Merino,Female
318,203056.0,Margaret Mclaughlin,Male
319,72612.0,Marguerite Ricciardone,Transgender
320,235574.0,Mariana Stoleru,Female
321,153410.0,Marjorie Zakaria,Male
322,250263.0,Mark Hoeft,Female
323,235172.0,Mark Howard,Female
324,52825.0,Marta Sowa,Female
325,150498.0,Martha Herbert,Female
326,244147.0,Melissa Matos-Auerbach,Transgender
327,235249.0,Merielle Stephens,Female
328,50316.0,Michael Daly,Female
329,238672.0,Michael Debusk,Transgender
330,282257.0,Michael Farrell,Female
331,239776.0,Michael Kelly,Male
332,154268.0,Michael Stix,Transgender
333,230564.0,Miruna Segarceanu,Male
334,240054.0,Nancy Kim,Transgender
335,34550.0,Narendrakumar Shah,Male
336,254146.0,Nasim Gorji,Female
337,269210.0,Nasreen Azam,Male
338,204275.0,Nathan Beraha,Transgender
339,275276.0,Neil Datta,Transgender
340,49036.0,Nicolas Kalim,Transgender
341,250989.0,Nicole Grady,Male
342,153880.0,Nurhan Kasparyan,Transgender
343,283540.0,Oleg Yerstein,Female
344,231115.0,Patricia Dramitinos,Transgender
345,238961.0,Patrick Aquino,Male
346,53940.0,Paula Wright,Male
347,73773.0,Peter Rosenblatt,Male
348,45662.0,Peter Zucker,Male
349,254026.0,Pingping Song,Transgender
350,262457.0,Pooja Raibagkar,Female
351,245118.0,Pooja Rutberg,Male
352,248086.0,Priya Shastri,Male
353,74392.0,Raffaele Bruno,Male
354,59830.0,Raj Devarajan,Female
355,156186.0,Rebecca Mosher,Male
356,52020.0,Rebecca Osgood,Male
357,282090.0,Reema Mehta,Male
358,274154.0,Reyhan Gedik,Male
359,271017.0,Ribal Bassil,Female
360,42098.0,Richard Salerno,Male
361,274369.0,Robert Carrasquillo,Female
362,223254.0,Robert Hanley,Female
363,53064.0,Robert Steinberg,Transgender
364,255328.0,Robert Whitmore,Male
365,235988.0,Ronit Kedem,Female
366,226695.0,Rosemarie Gordon,Transgender
367,226887.0,Rose Marino,Transgender
368,152621.0,Rowland Wu,Female
369,286759.0,Ryan Nazemian,Female
370,42271.0,Salim Kabawat,Male
371,280739.0,Sarah Maben,Female
372,244188.0,Sara Sullivan,Transgender
373,249887.0,Satrajit Bose,Transgender
374,258612.0,Shaheen Lakhan,Transgender
375,77922.0,Shahyar Radafshar,Female
376,246292.0,Shakti Ramkissoon,Male
377,279199.0,Shawn Yehudian,Male
378,155808.0,Sheida Sharifi,Transgender
379,80634.0,Sivamainthan Vithiananthan,Transgender
380,247376.0,Sohin Patel,Female
381,239672.0,Spencer Kozinn,Female
382,160897.0,Stephen Huang,Transgender
383,57834.0,Stephen Paul,Transgender
384,154641.0,Sudha Parasuraman,Male
385,259954.0,Sui Li,Male
386,71236.0,Susan Elaine,Female
387,71885.0,Tammam Farhat,Female
388,281335.0,Tanya Birkett,Male
389,253727.0,Tauheed Zaman,Female
390,275545.0,Temitope Awosogba,Male
391,40853.0,Theodore Kwan,Transgender
392,216760.0,Thomas Burke,Transgender
393,154248.0,Traci Brooks,Transgender
394,39107.0,Urmila Khettry,Transgender
395,60696.0,Valena Wright,Transgender
396,274356.0,Veronica Demtchouk,Male
397,223166.0,Victoria Seward,Female
398,277638.0,Vivekananda Datta,Female
399,269596.0,William Winkelman,Transgender
400,234555.0,Xiaofei Wang,Transgender
401,278632.0,Xin Zhou,Female
402,151012.0,Yao Tek,Female
403,155462.0,Yilin Zhang,Male
404,229044.0,Aarti Kalra,Male
405,250971.0,Abigail Nodler,Female
406,262531.0,Adam Drobnis,Transgender
407,259048.0,Adam Elias,Male
408,265119.0,Adam Lau,Male
409,292322.0,Adam Puchalski,Male
410,227171.0,Adam Segal,Female
411,206993.0,Adam Vernadakis,Female
412,237909.0,Adi Leiba,Transgender
413,225103.0,Aditi Rao,Transgender
414,80633.0,Agnes Virga,Female
415,265933.0,Ajay Tunguturi,Transgender
416,225678.0,Akta Patel,Female
417,281369.0,Alan Shotkin,Male
418,24952.0,Alan Stone,Transgender
419,269603.0,Alecia Greenlee,Transgender
420,253771.0,Alessandra Mele,Male
421,291303.0,Alexander Benson,Male
422,56528.0,Alexander Miller,Transgender
423,278559.0,Alexander Neusner,Transgender
424,235165.0,Alexander Shapiro,Male
425,59573.0,Alexandra Accardi,Male
426,292240.0,Alexandra Cole,Transgender
427,159728.0,Alexandra Iannini,Male
428,270360.0,Alexandra Lovett,Male
429,220008.0,Alexios Carayannopoulos,Male
430,288100.0,Alexis Webber,Male
431,227907.0,Alex Vanni,Male
432,79727.0,Alfred Bilik,Female
433,72479.0,Alfred William,Female
434,81419.0,Alicia Davette,Female
435,232519.0,Alicia Duenas,Male
436,259211.0,Alin Joseph,Male
437,160895.0,Alireza Moinzadeh,Male
438,213881.0,Alison O'Neill,Female
439,48026.0,Allen Goldberger,Transgender
440,277284.0,Allison Brandt,Male
441,49319.0,Alvah Hinckley,Male
442,278686.0,Alyssa Rautenberg,Female
443,152599.0,Amanda Metzger,Male
444,249100.0,Amanda Winters,Female
445,246235.0,Amber Lerma,Male
446,238486.0,Amelia Fonseca,Female
447,226762.0,Amruthur Gita,Transgender
448,277391.0,Amy Conrad,Transgender
449,156887.0,Amy Degnim,Male
450,150116.0,Amy Joyce,Male
451,80183.0,Amy Louise,Male
452,253125.0,Amy Zisa,Male
453,262094.0,Anand Patel,Male
454,155750.0,Andrea Chisholm,Male
455,213241.0,Andrea Doyle,Female
456,71066.0,Andrea Stone,Male
457,154449.0,Andre Bell,Transgender
458,242665.0,Andres Chaparro,Female
459,291302.0,Andrew Austin,Transgender
460,262015.0,Andrew Fuller,Male
461,267566.0,Andrew Gagnon,Transgender
462,21186.0,Andrew Kerhulas,Female
463,243830.0,Andrew King,Transgender
464,210723.0,Andrew Kowal,Transgender
465,231556.0,Andrew Marcantonio,Transgender
466,269130.0,Andrew Mccullough,Transgender
467,77152.0,Andrew Moskovitz,Female
468,33944.0,Andrew Pryharski,Male
469,60376.0,Andrew Stoll,Transgender
470,241537.0,Angela Kuhnen,Male
471,230181.0,Anil Nair,Transgender
472,272979.0,Anil Ramineni,Male
473,277348.0,Anita Mccarthy,Female
474,204753.0,Anjen Chenn,Transgender
475,253056.0,Anju Nayar,Transgender
476,238202.0,Annalise Keen,Female
477,276409.0,Anne Antonellis,Male
478,202939.0,Anne Hallward,Male
479,46460.0,Annie Srethabhakti,Transgender
480,152718.0,Annie Woon,Transgender
481,252516.0,Anthony Marfeo,Male
482,29327.0,Anthony Prizzi,Male
483,47553.0,Anthony Van-Niel,Male
484,152835.0,Antonio Bullon,Female
485,224442.0,Antonio Lim,Female
486,269624.0,Aram Demirjian,Female
487,152472.0,Arash Ansari,Female
488,281962.0,Arkadi Beloiartsev,Male
489,226857.0,Arnold Rosenbaum,Male
490,32783.0,Arthur Kleinman,Transgender
491,160121.0,Arun Jain,Male
492,153413.0,Asher Schachter,Transgender
493,210100.0,Ashraf Attalla,Female
494,30222.0,Aubrey Milunsky,Female
495,71966.0,Audrey Louise,Female
496,287760.0,Austin Greenhaw,Transgender
497,279600.0,Azmin Kahriman,Transgender
498,38344.0,Bahy Louca,Male
499,157518.0,Beata Brzozowska,Transgender
500,159969.0,Benita Handa,Transgender
501,231653.0,Benjamin Brent,Male
502,249064.0,Benjamin Herbstman,Male
503,251120.0,Benjamin Waldorf,Female
504,76592.0,Bennett Gaev,Transgender
505,57863.0,Bernard Edelstein,Female
506,25876.0,Bernard Spiegel,Transgender
507,152147.0,Beth Bouthot,Female
508,56978.0,Beth Goldbaum,Female
509,72909.0,Beth Hardiman,Female
510,72613.0,Betsy Jan,Male
511,234899.0,Bianca Shagrin,Female
512,56112.0,Bradford Navia,Female
513,279014.0,Bradley Jones,Female
514,265123.0,Brendan Browne,Female
515,282336.0,Brennan Decker,Transgender
516,283893.0,Brett Baker,Female
517,36744.0,Brian Ackerman,Transgender
518,275145.0,Brian Clair,Male
519,246788.0,Brian Ferla,Male
520,277245.0,Brian Freniere,Transgender
521,231741.0,Brian Scott,Male
522,51896.0,Brigida Call,Female
523,222904.0,Brittanny Boulanger,Male
524,50130.0,Bruce Tronic,Transgender
525,40158.0,Byron Hartunian,Female
526,273877.0,Caleb Gardner,Transgender
527,282045.0,Camilo Doig,Male
528,247541.0,Carla Scarfo,Female
529,41205.0,Carl Bender,Female
530,80208.0,Carl Fulwiler,Female
531,282130.0,Carmen Perrino,Female
532,273046.0,Caroline Nitschmann,Transgender
533,246669.0,Caroline Simon,Male
534,155215.0,Carol Moheban,Male
535,75786.0,Carol Sue,Female
536,265373.0,Carolyn Boscia,Transgender
537,281928.0,Carolyn Gaebler,Female
538,244187.0,Carolyn O'Donnell-Walker,Male
539,60469.0,Cary Friedman,Female
540,251330.0,Casey Kowalik,Transgender
541,280350.0,Catherine Beatty,Female
542,257888.0,Catherine Cleland,Female
543,77845.0,Catherine Durie,Male
544,205698.0,Catherine Mullaly,Female
545,265450.0,Cecilia Stuopis,Transgender
546,81441.0,Cecilia Tsao,Male
547,224790.0,Chad Wotkowicz,Female
548,154463.0,Chana Wasserman,Male
549,37598.0,Charles Arkin,Transgender
550,36126.0,Charles Przyjemski,Transgender
551,35647.0,Charles Swearingen,Transgender
552,151032.0,Charles Swenson,Transgender
553,281737.0,Chelsea Marcus,Male
554,74421.0,Cheryl Lynn,Transgender
555,254319.0,Chizoba Umeh,Male
556,286919.0,Chris Burke,Transgender
557,279249.0,Christina Johnson,Transgender
558,206056.0,Christina Musat,Male
559,57196.0,Christine Mclaughlin,Transgender
560,56250.0,Christine Thomas,Transgender
561,81126.0,Christopher Cooper,Male
562,274831.0,Christopher Hansen,Female
563,235411.0,Christopher Kenney,Female
564,288073.0,Christopher Lim,Transgender
565,231818.0,Christopher Robinson,Transgender
566,205036.0,Christopher Scheirey,Male
567,246202.0,Christopher Tangren,Female
568,210150.0,Christopher Turner,Transgender
569,216746.0,Cindy Chao,Male
570,278804.0,Cindy Chen,Transgender
571,288072.0,Clara Kim,Female
572,152502.0,Claudia Nelson,Transgender
573,277378.0,Colin Macneill,Female
574,55429.0,Cornelius O'Connor,Transgender
575,223963.0,Courtney L.,Male
576,287505.0,Cristina Zottola,Female
577,246994.0,Cynthia Rasmussen,Female
578,225084.0,Cyrus Akbarian,Female
579,242407.0,Daneil Kuftinec,Female
580,32754.0,Daniel Asnes,Male
581,154311.0,Daniel Brenner,Transgender
582,234983.0,Daniel Debowy,Female
583,49447.0,Daniel Epstein,Transgender
584,265264.0,Daniel Fischer,Male
585,291130.0,Dan Michael,Transgender
586,157620.0,Daphne Rulf,Female
587,226514.0,Dauda Griffin,Female
588,240103.0,David Abramson,Male
589,153676.0,David Armsby,Female
590,234530.0,David Axelrod,Female
591,160949.0,David Barrett,Male
592,81034.0,David Barton,Transgender
593,79152.0,David Belcher,Female
594,152289.0,David Brams,Male
595,219272.0,David Canes,Transgender
596,29079.0,David Chapin,Female
597,213950.0,David Elvin,Transgender
598,55101.0,David Gendelman,Transgender
599,75338.0,David Hammond,Transgender
600,81151.0,David Hirsh,Female
601,288363.0,David Holtzman,Female
602,79554.0,David Margolin,Female
603,265817.0,David Mevorach,Male
604,56696.0,David Moller,Transgender
605,245711.0,David Pan,Female
606,155684.0,David Rettew,Male
607,271516.0,David Stuckey,Male
608,261251.0,David Van,Transgender
609,80817.0,David Weissgold,Male
610,231385.0,Davina Franco,Female
611,59501.0,Deborah Ellen,Transgender
612,155809.0,Deborah Simon,Female
613,55559.0,Deborah Zuckerman,Male
614,273407.0,Denise Kearney,Female
615,37655.0,Desmond Birkett,Female
616,215375.0,Diana Apetauerova,Male
617,282270.0,Diane Brackett,Male
618,81373.0,Diane Karalekas,Transgender
619,282844.0,Diego Quiros,Female
620,265568.0,Dipti Sajed,Female
621,223670.0,Dmitry Nepomnayshy,Male
622,50129.0,Domenic Strazzulla,Male
623,32870.0,Donald Abel,Male
624,53974.0,Donald Johns,Female
625,225629.0,Donald Smith,Male
626,268028.0,Doris Iarovici,Female
627,50302.0,Doros Platika,Transgender
628,251145.0,Douglas Lin,Female
629,81276.0,Douglas Price-Hanson,Transgender
630,257345.0,Drew Palmer,Male
631,35788.0,Eduardo Mancini,Male
632,77208.0,Edward Levy,Male
633,157471.0,Edward Patton,Transgender
634,32237.0,Edward Pollard,Male
635,71802.0,Edward Rao,Transgender
636,204386.0,Edward Walshe,Transgender
637,31646.0,Edward Wolpow,Female
638,150299.0,Edwin Huang,Male
639,216547.0,Edwin Ozawa,Male
640,278696.0,Eileen Huttlin,Transgender
641,269429.0,Ekta Taneja,Female
642,256711.0,Eli Mckenna-Weiss,Transgender
643,242699.0,Elisa Cheng,Female
644,34252.0,Elissa Arons,Female
645,77553.0,Elizabeth Anne,Transgender
646,227826.0,Elizabeth Armstrong,Male
647,249520.0,Elizabeth Baker,Male
648,288161.0,Elizabeth Bigus,Female
649,55112.0,Elizabeth Catlin,Female
650,274350.0,Elizabeth Drumm,Transgender
651,275031.0,Elizabeth Fenstermacher,Female
652,260678.0,Elizabeth Gale,Transgender
653,75806.0,Elizabeth Gaufberg,Transgender
654,75494.0,Elizabeth Marie,Male
655,237171.0,Elizabeth Monaco,Transgender
656,274000.0,Elizabeth Phipps,Male
657,72313.0,Elizabeth Pugh,Female
658,54053.0,Elizabeth Stewart,Female
659,81732.0,Ellen Bass,Female
660,79585.0,Ellen Sigman,Transgender
661,254446.0,Elliot Servais,Transgender
662,37092.0,Elliott Thrasher,Male
663,55407.0,Elsa Li,Male
664,216450.0,Elzbieta Kos,Male
665,274473.0,Emily Chen,Male
666,243587.0,Emily Harder,Male
667,258077.0,Emily Mukherji,Male
668,258787.0,Emily Parent,Male
669,261129.0,Emily Sullivan,Male
670,51691.0,Emmeline Diller,Male
671,224212.0,Eric Anderson,Male
672,156317.0,Eric Bachman,Male
673,158141.0,Eric Sheffer,Female
674,258955.0,Eric Stanelle,Transgender
675,273861.0,Erik Williams,Female
676,234661.0,Erin Belfort,Male
677,233991.0,Erin Mahony,Female
678,278613.0,Erin Stefely,Transgender
679,29870.0,Ernest Fortin,Male
680,249879.0,Ernesto Gonzalez,Transgender
681,277249.0,Ethan Jaffee,Female
682,71482.0,Eugene Jura,Transgender
683,153678.0,Eva Patalas,Male
684,231602.0,Eve Karkowsky,Female
685,79162.0,Ewan Cameron,Male
686,292539.0,Faraz Mahmood,Male
687,36544.0,Farid Louis,Male
688,59065.0,Firmon Hardenbergh,Transgender
689,79614.0,Fleming Wertz,Transgender
690,275374.0,Florian Hackl,Transgender
691,230364.0,Francis Ansa,Male
692,24396.0,Francis Nash,Female
693,78910.0,Frank Lee,Female
694,28045.0,Frank Takacs,Female
695,49394.0,Frederick Bartlett,Female
696,291307.0,Gabriel Felix,Female
697,273033.0,Galit Rosen,Male
698,51271.0,Gary Borodic,Transgender
699,48606.0,Gary Cushing,Transgender
700,45398.0,Gary Goldfarb,Transgender
701,41957.0,Geoffrey Linburn,Transgender
702,29451.0,George Doyle,Female
703,76983.0,George Loui,Transgender
704,27845.0,George Reservitz,Male
705,155136.0,George Teter,Male
706,32532.0,Gerald Steinberg,Female
707,233532.0,Germaine Earle-Cruickshanks,Female
708,223812.0,Gigi Anchan,Male
709,257596.0,Gillian Sowden,Female
710,230008.0,Gjanje Smith,Male
711,152950.0,Gopal Krishna,Male
712,23227.0,Graham Blaine,Female
713,70285.0,Greg Lipshutz,Female
714,79525.0,Gregory George,Transgender
715,70814.0,Gregory Hagan,Female
